Date,TotalSamples
2021-02-19,13670612.0
2021-02-20,13697048.0
2021-02-21,13728728.0
2021-02-22,13746985.0
2021-02-23,13775253.0
2021-02-24,13807747.0
2021-02-25,13843190.0
2021-02-26,13877968.0
2021-02-27,13915009.0
2021-02-28,13954131.0
2021-03-01,13974400.0
2021-03-02,14010204.0
2021-03-03,14047174.0
2021-03-04,14092251.0
2021-03-05,14143911.0
2021-03-06,14190477.0
2021-03-07,14236179.0
2021-03-08,14262086.0
2021-03-09,14307165.0
2021-03-10,14356138.0
2021-03-11,14403941.0
2021-03-12,14448650.0
2021-03-13,14489098.0
2021-03-14,14534762.0
2021-03-15,14557366.0
2021-03-16,14580783.0
2021-03-17,14611499.0
2021-03-18,14642664.0
2021-03-19,14674210.0
2021-03-20,14705188.0
2021-03-21,14736326.0
2021-03-22,14771701.0
2021-03-23,14805335.0
2021-03-24,14840401.0
2021-03-25,14875597.0
2021-03-26,14916201.0
2021-03-27,14958897.0
2021-03-28,14990039.0
2021-03-29,15021364.0
2021-03-30,15052215.0
2021-03-31,15083179.0
2021-04-01,15114988.0
2021-04-02,15146104.0
2021-04-03,15177364.0
2021-04-04,15208436.0
2021-04-05,15239114.0
2021-04-06,15270771.0
2021-04-07,15302583.0
2021-04-08,15333851.0
2021-04-09,15365743.0
2021-04-10,15397672.0
2021-04-11,15429391.0
2021-04-12,15463146.0
2021-04-13,15498728.0
2021-04-14,15534460.0
2021-04-15,15570201.0
2021-04-16,15606163.0
2021-04-17,15642070.0
2021-04-18,15677992.0
2021-04-19,15715757.0
2021-04-20,15753679.0
2021-04-21,15793298.0
2021-04-22,15835169.0
2021-04-23,15880750.0
2021-04-24,15931722.0
2021-04-25,15994607.0
2021-04-26,16068648.0
2021-04-27,16143083.0
2021-04-28,16217831.0
2021-04-29,16303866.0
2021-04-30,16390360.0
2021-05-01,16488574.0
2021-05-02,16602873.0
2021-05-03,16718148.0
2021-05-04,16833932.0
2021-05-05,16950299.0
2021-05-06,17060446.0
2021-05-07,17160870.0
2021-05-08,17262441.0
2021-05-09,17367935.0
2021-05-10,17428059.0
2021-05-11,17514937.0
2021-05-12,17605687.0
2021-05-13,17702133.0
2021-05-14,17791220.0
2021-05-15,17880755.0
2021-05-16,17975305.0
2021-05-17,18049054.0
2021-05-18,18140307.0
2021-05-19,18241637.0
2021-05-20,18342918.0
2021-05-21,18435149.0
2021-05-22,18525758.0
2021-05-23,18617387.0
2021-05-24,18676222.0
2021-05-25,18749201.0
2021-05-26,18840321.0
2021-05-27,18924545.0
2021-05-28,19009047.0
2021-05-29,19088611.0
2021-05-30,19172843.0
2021-05-31,19256304.0
2021-06-01,19350008.0
2021-06-02,19448056.0
2021-06-03,19534279.0
2021-06-04,19619590.0
2021-06-05,19708031.0
2021-06-06,19791721.0
2021-06-07,19856521.0
2021-06-08,19946253.0
2021-06-09,20039764.0
2021-06-10,20137627.0
2021-06-11,20239490.0
2021-06-12,20348106.0
2021-06-13,20450982.0
2021-06-14,20538738.0
2021-06-15,20634891.0
2021-06-16,20736435.0
2021-06-17,20839147.0
2021-06-18,20946911.0
2021-06-19,21050846.0
2021-06-20,21150847.0
2021-06-21,21205849.0
2021-06-22,21280302.0
2021-06-23,21361014.0
2021-06-24,21449636.0
2021-06-25,21541485.0
2021-06-26,21637606.0
2021-06-27,21732933.0
2021-06-28,21804691.0
2021-06-29,21895922.0
2021-06-30,21993618.0
2021-07-01,22084192.0
2021-07-02,22177951.0
2021-07-03,22268483.0
2021-07-04,22363078.0
2021-07-05,22435809.0
2021-07-06,22524187.0
2020-04-09,206.0
2020-04-14,280.0
2020-04-17,363.0
2020-04-18,389.0
2020-04-20,439.0
2020-04-21,454.0
2020-04-22,496.0
2020-04-24,526.0
2020-04-26,568.0
2020-04-27,584.0
2020-04-28,610.0
2020-04-29,662.0
2020-04-30,694.0
2020-05-01,724.0
2020-05-03,810.0
2020-05-04,869.0
2020-05-05,970.0
2020-05-06,1039.0
2020-05-07,1144.0
2020-05-08,1354.0
2020-05-09,1597.0
2020-05-10,1823.0
2020-05-11,2078.0
2020-05-12,2257.0
2020-05-13,2483.0
2020-05-14,2677.0
2020-05-15,2942.0
2020-05-16,3163.0
2020-05-17,3349.0
2020-05-18,3662.0
2020-05-19,3941.0
2020-05-20,4157.0
2020-05-21,4438.0
